	5QBDM2ESPNATXXX0494	5QBDM2ESPPOOBXX0490	BR5r-M2-ESP-POO-B-XX-1621	BR5rM2ESPNATXXX1625	MvvQ-M2-ESP-POO-A-XX-1616	MvvQM2ESPNATXXX1620	TZEpM2ESPNATXXX0504	TZEpM2ESPPOOAXX0500
Alcaligenes.faecalis	1742	3490	4723	2072	2401	1313	767	1690
Alcaligenes.sp..SORT26	239	267	741	303	377	225	0	279
Alcaligenes.aquatilis	700	638	2332	778	974	602	0	664
Pusillimonas.sp..T7.7	737	644	1894	724	926	539	248	630
Pusillimonas.sp..DMV24BSW_D	299	266	855	326	379	211	0	290
Pusillimonas.thiosulfatoxidans	1066	1096	3111	1145	1470	794	417	1050
Kerstersia.gyiorum	1352	1307	3617	1483	1626	1076	482	1169
Paralcaligenes.sp..KSB.10	1113	1055	3438	1203	1500	914	386	941
Advenella.kashmirensis	495	570	3276	565	613	413	170	465
Advenella.mimigardefordensis	477	477	1448	531	617	368	156	449
Rhizobacter.gummiphilus	12225	10981	29158	14273	13614	11713	4732	30532
Rhizobacter.sp..AJA081.3	12706	12051	30013	14129	14641	9906	4842	13215
Sphaerotilus.sp..FB.5	10970	10367	27912	13235	13633	9502	4740	10764
Sphaerotilus.natans	9226	7842	22390	10808	10719	7821	3564	8355
Methylibium.sp..Pch.M	7605	6261	16034	7607	7477	5334	2597	6371
Methylibium.petroleiphilum	7371	6135	16393	7807	7826	5449	2559	6468
Rubrivivax.gelatinosus	13580	12203	33254	16477	16229	11404	5316	13054
Aquincola.tertiaricarbonis	13010	11858	29828	14872	14479	10175	4642	18191
Leptothrix.cholodnii	9562	8495	23971	11014	11386	7976	3607	8786
Mitsuaria.sp..7	8612	7806	21864	10391	10050	8284	3789	7851
Thiomonas.sp..X19	3749	3380	10555	4411	4938	3393	1533	3393
Thiomonas.intermedia	2111	1913	5864	2576	2720	1813	857	1839
Thiomonas.arsenitoxydans	1676	1612	5142	2308	2380	1527	652	1629
Xylophilus.rhododendri	8122	6556	19720	9011	8987	6452	2877	6573
Ideonella.dechloratans	6878	6559	16619	7947	7951	5865	2805	7466
Aquabacterium.olei	4589	3978	10785	5114	4938	3500	1728	4330
Tepidimonas.taiwanensis	4743	4193	12728	5974	6053	4022	2034	4159
Roseateles.depolymerans	4166	3581	9981	4760	4926	3530	1586	4053
Inhella.inkyongensis	2682	2417	7109	3320	3401	2199	1030	2505
Paucibacter.sp..KCTC.42545	2342	2142	5913	2510	2682	1901	834	2303
Sutterella.megalosphaeroides	1051	1156	3852	1754	1626	1158	561	1089
Sutterella.faecalis	762	819	2620	1112	1178	749	397	757
Sutterella.wadsworthensis	311	442	1196	429	554	308	170	354
Thauera.sp..K11	6974	7050	21948	9371	10426	6310	3186	6931
Thauera.sp..MZ1T	8356	8995	28286	11895	13563	8114	4134	8753
Thauera.humireducens	4459	4519	14306	5999	6872	4081	1984	4529
Thauera.chlorobenzoica	3810	4131	13528	5510	6342	3693	1786	3955
Thauera.aromatica	4184	4640	14463	6053	7284	4114	2039	4641
Thauera.hydrothermalis	1664	1664	5284	1955	2499	1458	597	1606
Azoarcus.sp..KH32C	5498	5795	18076	7448	8298	5201	2519	5349
Azoarcus.sp..DD4	6036	5890	19050	8125	8934	5596	2541	5942
Azoarcus.olearius	6009	5973	18297	8008	8708	5471	2542	5718
Azoarcus.communis	4259	4209	13208	5293	6366	3902	1885	4052
Nitrogeniibacter.mangrovi	4395	4174	14092	6057	6644	4036	1902	4044
Nitrogeniibacter.aestuarii	1932	1936	6169	2402	2941	1668	797	1856
Aromatoleum.petrolei	5268	5340	17101	7067	8091	4924	2314	5287
Aromatoleum.aromaticum	5589	5674	18243	7405	8612	4937	2686	5436
Aromatoleum.bremense	4423	4566	14578	5758	7267	3864	1895	4579
Aromatoleum.pumilum	3778	4157	12946	5198	6357	3603	1646	4099
Azospira.restricta	9383	10770	34139	14292	15627	8875	4522	10422
Azospira.inquinata	791	641	2382	1015	1046	709	337	710
Azospira.oryzae	1871	1764	5630	2480	2688	1653	769	1711
Azospira.sp..I09	1858	1890	6025	2569	2917	1673	886	1947
Niveibacterium.microcysteis	2788	3155	9685	3923	4384	2642	1254	2932
Oryzomicrobium.terrae	2509	2629	8215	3502	3851	2374	1070	2451
Rugosibacter.aromaticivorans	510	614	1882	605	872	428	231	600
Dechloromonas.denitrificans	3777	3694	11755	4818	5171	3381	1462	3478
Dechloromonas.sp..HYN0024	844	919	2906	1135	1371	745	362	915
Dechloromonas.sp..TW.R.39.2	690	715	2081	851	936	545	253	651
Ferribacterium.limneticum	4447	4587	14389	5768	6391	3910	1798	4353
Quatrionicoccus.australiensis	2065	2025	6789	2781	3056	1896	935	2002
Fluviibacter.phosphoraccumulans	281	380	1031	364	476	267	139	401
Usitatibacter.rugosus	8917	15112	45314	20929	18098	10896	7942	15600
Usitatibacter.palustris	7223	11805	36085	16263	14024	8225	5888	12129
Nitrosospira.multiformis	7475	8147	10737	3505	1535	3494	906	7798
Nitrosospira.lacus	1365	1042	2294	882	911	537	325	906
Nitrosospira.sp..NRS527	1296	808	1913	784	683	459	201	715
Nitrosospira.briensis	1066	748	1567	622	544	352	204	658
Nitrosomonas.communis	3549	2090	6336	4867	1928	2462	946	3874
Nitrosomonas.ureae	343	657	1927	328	558	218	0	1514
Nitrosomonas.europaea	269	300	854	257	325	192	0	349
Nitrosomonas.eutropha	228	308	744	241	348	152	0	289
Denitratisoma.sp..DHT3	3863	4388	14086	5523	6372	3555	1829	4297
Denitratisoma.oestradiolicum	1557	1528	5098	2041	2284	1331	619	1520
Methyloversatilis.sp..RAC08	3024	3250	10288	4180	4554	2772	1329	3026
Sulfuritalea.hydrogenivorans	3027	3516	11276	4415	4875	2623	1274	3206
Sterolibacterium.denitrificans	2297	2612	7926	3311	3452	2073	1024	2365
Thiobacillus.denitrificans	3967	4493	14311	6028	6520	3695	1833	4275
Sulfuritortus.calidifontis	3444	3828	12373	4757	5717	3187	1596	3783
Sideroxydans.sp..MIZ01	1423	1563	5146	1918	2187	1243	635	1595
Sideroxydans.lithotrophicus	981	1247	3904	1432	1607	833	510	1227
Ferrigenium.kumadai	1651	1965	6163	2519	2826	1558	856	1951
Ferriphaselus.amnicola	650	729	2144	811	922	583	296	705
Candidatus.Nitrotoga.arctica	301	394	1085	378	487	255	149	329
Candidatus.Nitrotoga.sp..AM1P	244	262	807	274	364	182	0	231
Gallionella.capsiferriformans	399	462	1398	551	567	344	205	477
Sulfuriferula.plumbiphila	1289	1474	4378	1629	2060	1155	517	1312
Sulfuriferula.sp..AH1	646	702	2206	768	1038	552	276	699
Sulfuriferula.nivalis	143	143	416	113	163	0	0	138
Sulfurimicrobium.lacus	1940	2248	6935	2703	3121	1686	847	2019
Sulfuricella.denitrificans	1001	1061	3112	1252	1435	773	401	1029
Methylovorus.sp..MP688	413	344	930	327	482	247	0	383
Methylovorus.glucosotrophus	386	384	1048	384	451	261	0	395
Methylobacillus.flagellatus	747	913	2026	806	1008	568	287	1123
Methylophilus.sp..TWE2	172	178	539	155	257	151	0	333
Methylophilus.medardicus	140	159	412	155	189	0	0	223
Methyloradius.palustris	160	140	363	117	141	0	0	138
Chromobacterium.sp..ATCC.53434	3616	2847	10032	4732	4622	3337	1491	2838
Chromobacterium.sp..Rain0013	1043	930	3038	1387	1423	937	308	807
Chromobacterium.sp..Beijing	1364	1046	3704	1562	1888	1267	548	1159
Chromobacterium.violaceum	4017	3251	11710	5362	5307	3649	1708	3424
Chromobacterium.vaccinii	3471	3195	10392	4528	4611	3482	1399	2905
Chromobacterium.phragmitis	2139	1928	6541	2806	3030	2140	1011	1903
Chromobacterium.paludis	1747	1739	5282	2514	2661	1706	757	1701
Chromobacterium.rhizoryzae	2867	2380	7955	3561	3588	2527	1028	2291
Chromobacterium.haemolyticum	1662	1624	5170	2510	2490	1933	723	1402
Iodobacter.ciconiae	162	169	509	145	209	117	0	167
Iodobacter.fluviatilis	126	161	448	172	210	142	0	163
Jeongeupia.sp..USM3	3889	3552	11965	5122	5374	3516	1637	3484
Jeongeupia.sp..HS.3	1597	1446	4829	2096	2222	1519	643	1400
Paludibacterium.paludis	1815	1659	5604	2375	2602	1734	756	1610
Paludibacterium.yongneupense	1601	1494	4882	2147	2324	1450	696	1415
Paludibacterium.sp..B53371	1170	1057	3503	1452	1653	1000	475	981
Vogesella.sp..LIG4	2278	2101	6668	3070	3013	2173	968	2036
Vogesella.sp..XCS3	1211	993	3328	1468	1609	1062	471	1035
Pseudogulbenkiania.sp..NH8B	3493	3616	11562	4643	5393	3313	1421	3366
Aquitalea.aquatilis	854	873	2468	1028	1099	804	340	731
Aquitalea.magnusonii	661	609	1988	755	889	597	249	588
Aquitalea.denitrificans	603	556	1675	699	816	510	203	538
Aquitalea.sp..USM4	566	586	1669	737	803	546	205	567
Microvirgula.aerodenitrificans	2405	2144	7126	3173	3393	2176	963	2185
Laribacter.hongkongensis	2373	2552	8065	3148	3839	2345	1191	2483
Aquaspirillum.sp..LM1	1101	984	3441	1400	1604	1026	452	990
Chitinibacter.bivalviorum	257	358	1079	305	463	294	0	309
Chitinibacter.fontanus	172	170	565	214	238	184	0	175
Deefgea.sp..D25	141	137	446	119	167	139	0	0
Neisseria.sp..KEM232	551	478	1627	644	803	507	220	481
Neisseria.sp..oral.taxon.014	223	250	813	315	374	266	0	290
Neisseria.bacilliformis	618	587	1859	826	782	635	298	544
Neisseria.shayeganii	454	425	1317	568	609	448	203	410
Neisseria.elongata	468	986	1604	685	751	544	227	527
Neisseria.dentiae	348	369	1058	476	442	334	162	331
Neisseria.chenwenguii	343	353	1070	402	515	312	141	304
Neisseria.meningitidis	2828	1406	3977	1939	1545	1310	953	2324
Neisseria.musculi	205	252	1084	323	404	236	0	257
Neisseria.gonorrhoeae	229	329	2228	528	1265	470	0	216
Neisseria.lactamica	199	343	835	272	384	261	0	287
Neisseria.dumasiana	139	0	371	156	182	0	0	0
Neisseria.sicca	261	376	938	435	538	0	0	0
Neisseria.animalis	121	203	596	177	219	144	0	167
Neisseria.weaveri	124	179	514	149	244	0	0	0
Crenobacter.cavernae	4111	3996	13314	5677	6074	3791	1828	3752
Chitinolyticbacter.meiyuanensis	2503	2254	7751	3113	3435	2146	1063	2383
Vitreoscilla.filiformis	1214	1204	3710	1613	1697	1232	489	1161
Vitreoscilla.massiliensis	189	210	640	220	261	171	0	203
Kingella.potus	344	321	1082	525	493	372	159	358
Kingella.oralis	263	305	783	337	363	232	126	244
Kingella.denitrificans	256	458	1051	434	581	304	0	343
Eikenella.corrodens	628	697	2081	799	961	679	316	702
Eikenella.exigua	177	192	662	293	282	173	0	0
Uruburuella.suis	392	360	1236	488	540	385	135	388
Uruburuella.testudinis	312	353	977	371	433	262	0	318
Paralysiella.testudinis	266	333	983	392	426	261	135	275
Conchiformibius.steedae	112	133	331	125	129	0	0	124
Casimicrobium.huifangae	2978	3319	10310	4147	4476	2825	1403	3126
Lysobacter.soli	242695	15827	17579	8621	7307	33871	2938	38611
Lysobacter.sp..S4.A87	29555	5046	9952	3945	4654	3222	1161	4655
Lysobacter.sp..5GHs7.4	21539	5808	13045	5622	6252	4227	1584	5882
Lysobacter.sp..TY2.98	16242	5728	12007	5049	5336	3912	1545	5996
Lysobacter.sp..KIS68.7	16410	7021	12945	5121	5063	3573	1445	6274
Lysobacter.sp..CECT.30171	16291	6686	11270	4151	4702	3195	1247	7016
Lysobacter.sp..CW239	13625	4638	9695	3916	4372	2827	1210	4578
Lysobacter.sp..K5869	10554	4707	11988	5340	5520	4103	1601	4764
Lysobacter.sp..H21R4	5485	2162	5316	2111	2306	1430	588	2142
Lysobacter.sp..CJ11	1115	738	1803	654	825	521	219	777
Lysobacter.sp..H23M47	5877	2104	5473	2097	2615	1738	701	2411
Lysobacter.sp..HDW10	801	586	1391	531	632	333	129	573
Lysobacter.enzymogenes	42154	16547	45551	20774	21509	15593	6176	18316
Lysobacter.solisilvae..ex.Woo.and.Kim.2022.	32149	8583	14836	5633	6891	4032	1530	7928
Lysobacter.arenosi	28459	4921	10020	3843	4421	3236	1193	4643
Lysobacter.capsici	39478	15129	38210	16047	18140	12536	4750	14627
Lysobacter.solisilvae..ex.Kim.et.al..2021.	22231	6187	13208	5690	6133	3904	1648	6354
Lysobacter.maris	16564	5744	13093	5379	6414	4236	1587	6051
Lysobacter.antibioticus	14669	5573	14653	6187	6759	4761	1837	5566
Lysobacter.lycopersici	12854	4385	9118	3515	3912	2726	1010	4894
Lysobacter.alkalisoli	12423	4105	8827	3757	4770	2633	1083	4499
Lysobacter.oculi	9055	3458	7770	3083	3411	2456	984	3786
Lysobacter.ciconiae	4764	2050	5087	1962	2201	1515	633	2088
Lysobacter.gummosus	14038	5291	14306	5910	6779	4662	1913	5358
Lysobacter.avium	5540	2265	5150	2064	2255	1463	627	2222
Stenotrophomonas.maltophilia	50559	46215	92025	40296	46579	31373	13352	57723
Stenotrophomonas.sp..ESTM1D_MKCIP4_1	2203	1329	3833	1709	1875	1262	537	2668
Stenotrophomonas.sp..SAU14A_NAIMI4_5	2479	1368	4356	2137	2011	1625	674	2583
Stenotrophomonas.sp..ZAC14D2_NAIMI4_7	1475	951	2716	1286	1282	998	414	1950
Stenotrophomonas.sp..ZAC14A_NAIMI4_1	1692	903	2789	1361	1511	945	477	1740
Stenotrophomonas.sp..YAU14D1_LEIMI4_1	1518	859	2455	1082	1183	830	416	1640
Stenotrophomonas.sp..ZAC14D2_NAIMI4_6	1320	700	2306	1166	1168	899	385	1561
Stenotrophomonas.sp..YAU14A_MKIMI4_1	1491	774	2445	1024	1063	783	0	1183
Stenotrophomonas.sp..SAU14A_NAIMI4_8	1198	805	2291	977	1082	949	0	1422
Stenotrophomonas.sp..LM091	3670	2142	6196	2736	2938	2043	850	6637
Stenotrophomonas.sp..169	2644	1703	4637	1919	2277	1509	677	3232
Stenotrophomonas.sp..364	2625	1557	4680	2048	2027	1627	662	4485
Stenotrophomonas.sp..NA06056	1545	903	2618	1163	1153	987	438	1576
Stenotrophomonas.sp..WZN.1	1265	844	2080	947	1042	775	343	1123
Stenotrophomonas.sp..DR822	885	576	1519	739	837	723	0	903
Stenotrophomonas.sp..Pemsol	972	737	1751	741	741	782	0	1119
Stenotrophomonas.sp..pho	830	903	1732	842	880	817	0	1368
Stenotrophomonas.sp..SI.NJAU.1	855	0	1312	551	695	0	0	718
Stenotrophomonas.sp..CW117	3004	0	6022	0	2847	0	0	2576
Stenotrophomonas.sp..ASS1	775	0	1361	619	706	0	0	662
Stenotrophomonas.sp..MYb57	730	0	1580	769	823	582	0	627
Stenotrophomonas.sp..G4	690	595	1413	768	720	0	0	705
Stenotrophomonas.sp..NY11291	1115	0	2168	0	0	0	0	0
Stenotrophomonas.rhizophila	12312	6347	18407	8215	9118	6659	2728	28070
Stenotrophomonas.acidaminiphila	17473	11204	28135	12307	13973	10313	4309	13445
Stenotrophomonas.indicatrix	1350	882	2745	1215	1410	1026	0	1208
Xanthomonas.translucens	15102	11402	30721	14461	16710	10620	4533	12409
Xanthomonas.campestris	10764	7510	22176	10698	12623	7766	3328	10549
Xanthomonas.sacchari	6436	3662	10751	5058	5421	3946	1631	4348
Xanthomonas.sp..GW	2035	1329	3799	1794	2009	1330	541	1446
Xanthomonas.sp..SI	2077	1316	3903	1671	2076	1444	511	1449
Xanthomonas.sp..SS	2031	1252	3687	1659	1972	1344	525	1373
Xanthomonas.sp..MLO165	341	306	829	409	449	261	0	331
Xanthomonas.arboricola	6518	4538	12230	5503	7043	4096	1632	5330
Xanthomonas.theicola	4202	2486	7435	3498	3834	2707	1080	2822
Xanthomonas.oryzae	19625	2709	7833	3363	3963	2503	1002	2881
Xanthomonas.hyacinthi	3719	2190	7004	3040	3454	2395	958	2501
Xanthomonas.citri	22821	17873	47959	15300	19121	24007	10074	13853
Xanthomonas.albilineans	2038	1343	3702	1487	1771	1122	468	1463
Xanthomonas.hortorum	2845	1991	5205	2389	2832	1627	702	2317
Xanthomonas.vesicatoria	2517	1861	4893	2065	2469	1546	669	1922
Xanthomonas.cucurbitae	1849	1200	3370	1404	1683	1171	483	1335
Xanthomonas.fragariae	1789	1279	3533	1476	1822	1135	444	1418
Xanthomonas.cassavae	1501	980	2832	1248	1345	962	344	1106
Xanthomonas.vasicola	1556	1133	3358	1449	1671	1074	396	1397
Xanthomonas.euroxanthea	1811	1165	3383	1578	1911	1096	432	1586
Xanthomonas.hydrangeae	1138	732	2066	817	1046	691	261	834
Xanthomonas.axonopodis	1021	1083	2892	1157	1724	767	361	1468
Xanthomonas.phaseoli	2168	1311	3754	2022	2227	1029	348	1513
Xanthomonas.euvesicatoria	4272	5493	17692	6671	4742	1206	0	4399
Luteimonas.sp..MC1750	10132	4860	12003	5268	5589	3866	1524	6457
Luteimonas.sp..S4.F44	7861	4356	10814	4663	5068	3547	1413	5557
Luteimonas.sp..YGD11.2	8639	4116	10290	4180	4757	3230	1310	5484
Luteimonas.sp..JM171	7053	4112	9340	3708	4172	2851	1195	4720
Luteimonas.sp..D4P002	7288	4254	9506	4185	4628	3119	1216	6810
Luteimonas.sp..MC1825	8575	3798	9015	4209	4482	3072	1229	4956
Luteimonas.sp..MC1572	8332	4017	10024	4314	4428	3022	1373	5035
Luteimonas.granuli	9510	4569	11363	5007	5607	3683	1533	6169
Luteimonas.yindakuii	7858	3515	9490	4077	4420	3034	1240	4626
Luteimonas.chenhongjianii	5942	3356	8125	3553	3893	2742	1106	4562
Pseudoxanthomonas.suwonensis	21661	13006	28734	12335	13418	9665	3738	25238
Pseudoxanthomonas.mexicana	22766	10870	114692	10335	17953	8456	3095	17260
Pseudoxanthomonas.sp..X.1	11543	6588	17794	7705	8993	6238	2450	7405
Pseudoxanthomonas.daejeonensis	7134	4142	9170	3851	4444	3059	1146	6412
Pseudoxanthomonas.spadix	5040	2661	7639	3342	3825	2616	988	3094
Thermomonas.sp..XSG	8054	3614	8661	3767	4128	2858	1154	4257
Thermomonas.sp..HDW16	4894	2279	4987	1865	2364	1408	542	2473
Thermomonas.brevis	11310	4826	11836	5057	5510	3848	1623	5599
Thermomonas.aquatica	10753	5075	10662	4343	4841	3497	1442	6358
Thermomonas.carbonis	6628	3307	7542	3007	3596	2242	836	3588
Arenimonas.daejeonensis	7178	4750	12006	4449	8273	3194	1268	5511
Pseudolysobacter.antarcticus	1948	2380	5772	2037	2534	1564	654	2114
Xylella.fastidiosa	460	451	2350	464	574	373	136	1581
Xylella.taiwanensis	238	241	637	213	313	165	0	240
Luteibacter.sp..321	3797	3548	10351	4558	4663	3569	1402	3547
Luteibacter.sp..EIF3	2518	2311	6541	2834	3189	2284	834	2286
Luteibacter.sp..335	2577	2334	6842	2850	2987	2191	891	2223
Luteibacter.sp..353	2360	2097	6614	2704	3017	1983	828	2153
Luteibacter.pinisoli	3290	2792	8051	3758	3918	2767	1121	2705
Luteibacter.rhizovicinus	2699	2575	7612	3207	3508	2448	962	2410
Luteibacter.anthropi	2192	2043	5959	2479	2652	1801	709	1915
Rhodanobacter.denitrificans	6691	5641	16480	6936	7802	5126	2238	5585
Rhodanobacter.sp..FDAARGOS.1247	3999	3371	9663	4110	4476	3118	1311	3379
Rhodanobacter.thiooxydans	4147	3432	10279	4372	4985	3256	1458	3390
Rhodanobacter.glycinis	2552	2221	6322	2568	2896	1952	858	2163
Dyella.thiooxydans	4969	4216	12548	5300	5806	3867	1655	4144
Dyella.japonica	2912	2452	7043	3158	3417	2309	996	2314
Dyella.telluris	2787	2296	6660	2692	3074	2067	845	2210
Dyella.terrae	1872	1735	4838	1919	2180	1425	637	1627
Dyella.caseinilytica	1233	1407	3501	1263	1641	1007	379	1223
Dyella.sp..M7H15.1	840	840	2301	810	1032	589	269	815
Frateuria.sp..5GH9.34	5322	4163	11117	4697	5058	3637	1583	3868
Frateuria.sp..5GH9.11	5259	4243	11478	5022	5264	3721	1588	3895
Frateuria.aurantia	1304	1215	3788	1445	1647	1130	485	1168
Dokdonella.koreensis	8009	7609	22292	9291	10180	6832	2957	8456
Aerosticca.soli	6421	6917	18818	7582	9421	5837	2925	6728
Ahniella.affigens	1642	1906	5165	1972	2353	1556	562	1796
Pseudomonas.sp..ATCC.13867	2400	2236	6339	2808	3297	2061	1010	2261
Pseudomonas.sp..LPB0260	1997	1838	5421	2224	2980	1668	726	2006
Pseudomonas.sp..PDNC002	2104	1966	5623	2470	2919	1762	880	1803
Pseudomonas.sp..SCB32	2024	1963	5850	2437	2963	1967	924	1922
Pseudomonas.sp..KNUC1026	1717	1593	4922	2057	2389	1586	670	1666
Pseudomonas.sp..Ost2	1677	1508	4778	2057	2276	1569	689	1443
Pseudomonas.sp..TCU.HL1	1647	1606	4672	1951	2488	1515	693	1695
Pseudomonas.sp..CC6.YY.74	1524	1502	4172	1641	2254	1106	492	1628
Pseudomonas.sp..DY.1	1510	1536	4193	1634	2095	1288	562	1543
Pseudomonas.sp..Pc102	1844	1644	4683	2067	2208	1472	618	1466
Pseudomonas.sp..MTM4	1257	1275	3415	1269	1739	903	470	1437
Pseudomonas.sp..StFLB209	1294	1166	3508	1495	1739	1095	510	1120
Pseudomonas.sp..L5B5	1296	1059	3275	1471	1724	1069	476	1070
Pseudomonas.sp..ABC1	1200	1175	3468	1437	1666	1001	436	1290
Pseudomonas.sp..CMR5c	1339	1138	3216	1367	1620	1079	559	1042
Pseudomonas.sp..MM211	1068	1102	3155	1278	1561	907	402	1208
Pseudomonas.sp..7SR1	1146	1160	3070	1370	1492	954	426	1013
Pseudomonas.sp..p1.2021b.	1403	1485	4276	1616	2098	2599	804	2293
Pseudomonas.sp..HN2.3	1000	890	2804	1119	1347	836	416	881
Pseudomonas.sp..B11D7D	907	953	2579	1040	1377	847	354	962
Pseudomonas.sp..MSPm1	856	910	2566	1026	1284	715	312	970
Pseudomonas.sp..LAB.08	782	677	2146	852	1017	640	324	708
Pseudomonas.sp..OIL.1	755	860	2358	849	1128	591	339	939
Pseudomonas.sp..MPC6	749	785	2105	891	1057	562	311	790
Pseudomonas.sp..Marseille.Q3773	818	769	2308	959	1168	770	344	987
Pseudomonas.sp..RtIB026	987	879	2494	1136	1178	843	511	766
Pseudomonas.sp..ADAK13	736	746	2085	928	1002	711	265	667
Pseudomonas.sp..ADPe	1978	1879	4611	2162	2634	1480	989	1713
Pseudomonas.sp..S09G.359	721	788	2097	920	1144	663	323	741
Pseudomonas.sp..gcc21	738	918	2625	905	1220	704	329	1012
Pseudomonas.sp..Leaf58	669	660	1989	794	963	622	266	722
Pseudomonas.sp..DG56.2	617	591	1710	665	710	473	203	666
Pseudomonas.sp..HLS.6	654	780	2052	760	965	648	260	719
Pseudomonas.sp..M1	1806	1751	4544	2108	2367	1632	918	1550
Pseudomonas.sp..URMO17WK12.I11	931	906	2589	967	1195	812	373	848
Pseudomonas.sp..MM213	621	574	1690	662	830	566	288	570
Pseudomonas.sp..2hn	892	857	2911	1204	1188	874	499	907
Pseudomonas.sp..15A4	641	671	1911	698	842	607	251	650
Pseudomonas.sp..Tri1	602	617	1692	615	749	515	268	559
Pseudomonas.sp..OE.28.3	587	545	1658	673	766	467	236	472
Pseudomonas.sp..S34	578	599	1703	724	838	536	258	538
Pseudomonas.sp..DTU12.3	571	635	1734	721	837	518	281	635
Pseudomonas.sp..RC3H12	747	706	1978	884	978	801	423	665
Pseudomonas.sp..Seg1	547	572	1454	603	772	443	262	498
Pseudomonas.sp..31.12	555	511	1608	618	737	492	244	534
Pseudomonas.sp..R5.89.07	568	571	1591	708	735	500	329	573
Pseudomonas.sp..LS.1a	603	577	1692	681	794	494	239	609
Pseudomonas.sp..ACM7	496	385	1143	490	542	370	147	395
Pseudomonas.sp..S35	526	541	1652	732	841	517	281	539
Pseudomonas.sp..HN11	502	472	1336	523	643	416	210	403
Pseudomonas.sp..NIBR.H.19	481	500	1436	585	671	493	218	521
Pseudomonas.sp..ADAK18	446	436	1293	463	582	396	207	385
Pseudomonas.sp..NS1.2017.	493	497	1348	555	606	421	219	438
Pseudomonas.sp..MRSN12121	905	818	2196	985	956	774	297	659
Pseudomonas.sp..HS6	482	512	1310	525	651	417	198	460
Pseudomonas.sp..DR48	545	667	1724	646	854	463	233	533
Pseudomonas.sp..LG1E9	466	492	1486	585	664	445	241	437
Pseudomonas.sp..DNDY.54	530	539	1440	529	699	383	211	526
Pseudomonas.sp..St316	469	464	1231	523	650	392	181	440
Pseudomonas.sp..PP3	468	576	1474	544	672	389	174	507
Pseudomonas.sp..CCOS.191	673	704	1695	825	804	639	311	633
Pseudomonas.sp..NIBRBAC000502773	528	433	1358	530	601	408	188	397
Pseudomonas.sp..SK3.2021.	568	454	1487	592	667	529	195	474
Pseudomonas.sp..M30.35	314	386	1054	334	453	253	0	442
Pseudomonas.sp..HS.18	968	859	2609	931	1113	673	302	719
Pseudomonas.sp..14181154	593	637	1479	646	740	403	238	479
Pseudomonas.sp..SK	573	541	1814	589	782	416	0	525
Pseudomonas.sp..R2A2	686	1486	1750	765	1001	652	0	745
Pseudomonas.sp..LPH1	561	642	1512	579	888	399	0	643
Pseudomonas.sp..IzPS59	412	460	1178	525	511	378	195	319
Pseudomonas.sp..SDM007	458	530	1283	605	727	453	0	565
Pseudomonas.sp..CYM.20.01	417	409	1115	520	538	311	175	376
Pseudomonas.sp..R76	410	369	1012	436	511	326	0	307
Pseudomonas.sp..R84	405	399	1116	440	554	381	261	423
Pseudomonas.sp..SCA2728.1_7	427	538	1291	549	561	459	0	411
Pseudomonas.sp..AO.1	525	584	1322	546	713	526	0	559
Pseudomonas.sp..THAF7b	704	1361	1721	614	1025	491	0	754
Pseudomonas.sp..SORT22	1008	1071	2091	1230	1312	958	0	1008
Pseudomonas.sp..02C.26	932	1138	1993	1081	1246	862	0	1018
Pseudomonas.sp..FIT81	357	418	1110	378	541	310	0	353
Pseudomonas.sp..S07E.245	907	1101	1669	914	1071	819	0	891
Pseudomonas.sp..UW4	350	381	1078	439	498	313	0	315
Pseudomonas.sp..BIGb0427	830	1047	2092	1101	1183	891	0	1060
Pseudomonas.sp..Z003.0.4C.8344.21.	340	304	1078	383	461	289	0	337
Pseudomonas.sp..FGI182	422	385	1137	460	525	393	0	406
Pseudomonas.sp..09C.129	440	342	958	430	430	301	0	305
Pseudomonas.sp..MPFS	573	557	1302	594	573	464	0	380
Pseudomonas.sp..phDV1	716	829	2049	802	1143	612	0	765
Pseudomonas.sp..LTJR.52	242	3470	770	231	345	235	0	1014
Pseudomonas.sp..B10	320	312	866	330	371	227	0	281
Pseudomonas.sp..Cab53	494	408	1192	439	618	331	0	333
Pseudomonas.sp..RBPA9	536	723	1744	663	755	490	0	568
Pseudomonas.sp..AN.B15	738	738	1295	652	704	537	0	707
Pseudomonas.sp..St29	1033	0	1980	1171	1075	1016	0	0
Pseudomonas.sp..DR.5.09	406	476	1039	434	508	359	0	361
Pseudomonas.sp..Y5.11	711	795	1664	723	842	738	0	625
Pseudomonas.sp..FDAARGOS_380	274	292	639	260	299	220	0	214
Pseudomonas.sp..HN2	278	299	933	375	411	254	0	259
Pseudomonas.sp..3.2	358	508	880	482	599	355	0	444
Pseudomonas.sp..LBUM920	574	723	1133	701	741	0	0	625
Pseudomonas.sp..ArH3a	569	0	1256	788	739	594	0	593
Pseudomonas.sp..MYb193	285	0	725	359	373	270	0	285
Pseudomonas.sp..BIOMIG1BAC	496	559	1460	639	739	417	0	490
Pseudomonas.sp..PONIH3	657	0	2103	832	1168	0	0	762
Pseudomonas.sp..BC42	960	0	1582	1031	1237	0	0	0
Pseudomonas.sp..GR.6.02	512	0	1009	0	582	0	0	0
Pseudomonas.sp..ADAK22	539	0	1151	686	695	581	0	624
Pseudomonas.sp..SC3.2021.	246	282	817	264	332	205	0	246
